name,type,location,farm_days
"Ressurreição do Imperador da Neve","Material de Ascensão de Armas","Domínio da Forja: Aço Rompido","Qua, Sáb, Dom"
"Significado de Éons","Material de Elevação de Personagem","Recompensa do Desafio da Guardiã da Eternidade (Nível 70+)","Todos os dias"
"Fruto do Trovão","Material de Elevação de Personagem","Dropado por Regisvine Electro Nv.30+","Todos os dias"
"Fragmento de Azulejo de Decarabian","Material de Ascensão de Armas","Domínio da Forja: Cidade das Reflexões","Seg, Qui, Dom"
"""Dispositivo Tubion""","Material de Elevação de Personagem","Dropado por Gerador de Campo Experimental Nv. 30+","Todos os dias"
"Pedaço Transoceânico","Material de Fortalecimento de Arma e Personagem","Dropado por Aberração Primordial Nv. 40+","Todos os dias"
"Pérola Transoceânica","Material de Fortalecimento de Arma e Personagem","Dropado por Aberração Primordial","Todos os dias"
"Flor Estimada","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Patrulheiros Nv.40+","Todos os dias"
"Insígnia dos Ladrões de Tesouro","Material de Fortalecimento de Arma e Personagem","Dropado pelos Ladrões de Tesouro","Todos os dias"
"Seda Vermelha Bordada","Material de Fortalecimento de Arma e Personagem","Dropado pelos Eremitas Nv.40+","Todos os dias"
"Trishiraita","Especialidade de Sumeru","Encontrado no deserto de Sumeru","Todos os dias"
"Triunfo do Exército da Estrela Azul","Material de Ascensão de Armas","Domínio da Forja: Ferro Fundido","Seg, Qui, Dom"
"Prisma Turvo","Material de Fortalecimento de Arma e Personagem","Dropado pelas Estruturas Primordiais de Nv. 40+","Todos os dias"
"Chifre de Baleia Come-Céu","Material de Elevação de Personagem","Recompensa do Desafio de Childe Nv.70+","Todos os dias"
"Galho Seco Retorcido","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Presa Tirana","Material de Fortalecimento de Arma e Personagem","Dropado por Saurianos de Natlan Nv. 60+","Todos os dias"
"Ferro Lunar Imaculado","Material de Fortalecimento de Arma e Personagem","Dropado por Matriz de Controle da Fonte Pioneira Secreta Nv. 60+","Todos os dias"
"Galho de Flor Intocado","Material de Elevação de Personagem","Dropado por Criação Derivada Imortal Nv.30+","Todos os dias"
"Obstinação do Herdeiro do Norte","Material de Ascensão de Armas","Domínio da Forja: Oblação Lunar","Qua, Sáb, Dom"
"Pedaço de Ametista Vajrada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Ametista Vajrada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Ametista Vajrada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Ametista Vajrada","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Valberry","Especialidade de Mondstadt","Recomendação: Encontrado nas Montanhas do Precursor do Vento","Todos os dias"
"Pedaço de Lazurita Varunada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Lazurita Varunada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Lazurita Varunada","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Lazurita Varunada","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Pedaço de Turquesa Vayuda","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Fragmento de Turquesa Vayuda","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Gema de Turquesa Vayuda","Material de Ascensão de Personagem","Cheque a Aba de Inimigos na Licença de Aventura","Todos os dias"
"Lasca de Turquesa Vayuda","Material de Ascensão de Personagem","Comprado na Loja de Lembranças","Todos os dias"
"Violeta","Especialidade de Liyue","Encontrado Perto dos Penhascos de Liyue","Todos os dias"
"Conselho do Andarilho","Material de EXP de Personagem","Recompensa de Expedição e Aventura","Todos os dias"
"Flor Florescente do Andarilho","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Patrulheiros Nv.60+","Todos os dias"
"Concha Quente","Material de Fortalecimento de Arma e Personagem","Dropado por Furões da Montanha Concha de Fornalha Nv.40+","Todos os dias"
"Apito de Metal do Guerreiro","Material de Fortalecimento de Arma e Personagem","Dropado por Guerreiro Tribal Sauriano Nv. 40+","Todos os dias"
"Água Que Falhou de Transcender","Material de Elevação de Personagem","Dropado por Tulpa Hydro Nv.60+","Todos os dias"
"Ponta de Flecha Usada","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Arqueiros Nv.60+","Todos os dias"
"Néctar da Flor Gigante","Material de Fortalecimento de Arma e Personagem","Dropado por Flores Gigantes","Todos os dias"
"Margaridas Voadoras","Especialidade de Mondstadt","Encontrado perto da Estátua dos Sete perto da Origem do Vento","Todos os dias"
"Cálice de Vinho do Mar Pristino","Material de Ascensão de Armas","Domínio da Forja: Mecanismos Engenhosos","Qua, Sáb, Dom"
"Capim de Gelo Invernal","Especialidade de Nod-Krai","Encontrado no Pilar de Embla","Todos os dias"
"Flor Púrpura Definhada","Especialidade de Natlan","Recomendação: Encontrado em Ochkanatlan","Todos os dias"
"Gancho do Lobo","Especialidade de Mondstadt","Recomendação: Encontrado no Reino dos Lobos","Todos os dias"
"Samambaia do Paraíso Exuberante","Material de Elevação de Personagem","Recompensa do Desafio Guardião do Oásis de Apep de Nv.70+","Todos os dias"
"Cristal Caleidoscópico","Material de Fortalecimento de Arma e Personagem","Dropado por Aberração Primordial Nv. 60+","Todos os dias"
